***,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,class
1857047,2.00E-001,2.63E-006,1.80E-006,2.76E+000,1.17E-002,3.63E-002,3.88E-002,3.95E-002,6.26E+000,7.01E-001,8.55E-002,4.15E-002,1
1857048,2.01E-001,9.81E-007,2.72E-006,2.78E+000,3.50E-005,3.69E-002,3.95E-002,4.02E-002,6.25E+000,7.01E-001,8.55E-002,4.15E-002,1
1857049,2.05E-001,2.54E-006,1.65E-006,2.98E+000,5.10E-005,3.66E-002,3.87E-002,3.93E-002,6.28E+000,6.98E-001,8.54E-002,4.14E-002,1
1857050,1.97E-001,2.04E-006,3.04E-006,2.87E+000,4.00E-005,3.72E-002,4.00E-002,4.09E-002,6.26E+000,6.98E-001,8.46E-002,4.07E-002,1
1857051,2.13E-001,1.98E-006,3.09E-006,2.80E+000,3.70E-005,3.68E-002,3.89E-002,3.96E-002,6.25E+000,6.98E-001,8.53E-002,4.13E-002,1
1857052,2.08E-001,2.63E-006,1.73E-006,2.70E+000,4.80E-005,3.33E-002,3.56E-002,3.61E-002,6.27E+000,6.97E-001,8.46E-002,4.06E-002,0
1857053,2.00E-001,2.68E-006,1.85E-006,2.67E+000,3.30E-005,3.53E-002,3.76E-002,3.81E-002,6.24E+000,7.00E-001,8.57E-002,4.17E-002,1
1857054,2.05E-001,1.68E-006,2.79E-006,2.67E+000,3.10E-005,3.42E-002,3.65E-002,3.71E-002,6.25E+000,7.00E-001,8.51E-002,4.11E-002,1
1857055,2.08E-001,1.75E-006,2.06E-006,2.97E+000,6.10E-005,3.68E-002,3.93E-002,3.99E-002,6.26E+000,6.98E-001,8.57E-002,4.16E-002,1
1857056,2.08E-001,2.27E-006,2.43E-006,2.81E+000,3.30E-005,3.77E-002,4.03E-002,4.11E-002,6.25E+000,6.97E-001,8.51E-002,4.12E-002,1
1857057,2.01E-001,2.61E-006,1.49E-006,2.62E+000,4.60E-005,3.74E-002,3.91E-002,3.98E-002,6.25E+000,7.00E-001,8.50E-002,4.10E-002,1
1857059,1.89E-001,2.45E-006,2.00E-006,2.92E+000,5.30E-005,3.77E-002,4.08E-002,4.16E-002,6.26E+000,6.98E-001,8.54E-002,4.14E-002,1
1857060,1.91E-001,1.01E-006,2.37E-006,3.06E+000,4.00E-005,3.14E-002,3.43E-002,3.48E-002,6.25E+000,7.01E-001,8.54E-002,4.13E-002,0
1857061,2.05E-001,1.48E-006,2.28E-006,2.62E+000,5.10E-005,3.54E-002,3.75E-002,3.81E-002,6.19E+000,6.91E-001,8.40E-002,4.03E-002,0
1857062,1.87E-001,1.65E-006,3.01E-006,3.03E+000,3.94E-003,3.65E-002,3.92E-002,3.99E-002,6.26E+000,6.99E-001,8.58E-002,4.18E-002,1
1857063,1.84E-001,2.06E-006,2.17E-006,2.86E+000,5.40E-005,3.68E-002,3.93E-002,4.00E-002,6.23E+000,6.95E-001,8.53E-002,4.13E-002,1
1857064,1.87E-001,2.75E-006,2.24E-006,2.95E+000,4.90E-005,3.82E-002,4.05E-002,4.12E-002,6.28E+000,7.01E-001,8.60E-002,4.20E-002,1
1857065,2.02E-001,1.48E-006,1.95E-006,2.96E+000,5.10E-005,3.51E-002,3.81E-002,3.87E-002,6.24E+000,6.98E-001,8.54E-002,4.15E-002,1
1857066,2.03E-001,1.14E-006,2.62E-006,2.68E+000,5.00E-005,3.49E-002,3.80E-002,3.85E-002,6.24E+000,6.97E-001,8.57E-002,4.17E-002,1
1857067,1.91E-001,2.05E-006,2.24E-006,2.79E+000,4.90E-005,3.69E-002,3.89E-002,3.96E-002,6.26E+000,6.99E-001,8.50E-002,4.09E-002,1
1857068,2.15E-001,2.50E-006,2.77E-006,2.24E+000,3.70E-005,3.53E-002,3.82E-002,3.88E-002,6.20E+000,6.96E-001,8.57E-002,4.18E-002,1
1857069,1.97E-001,2.12E-006,1.96E-006,2.63E+000,4.00E-005,3.62E-002,3.93E-002,3.99E-002,6.23E+000,6.98E-001,8.65E-002,4.25E-002,1
1857070,2.08E-001,1.74E-006,2.45E-006,2.75E+000,2.90E-005,3.54E-002,3.85E-002,3.92E-002,6.27E+000,7.00E-001,8.47E-002,4.07E-002,1
1857071,2.10E-001,2.42E-006,3.07E-006,2.54E+000,4.30E-005,3.60E-002,3.82E-002,3.88E-002,6.23E+000,6.99E-001,8.44E-002,4.04E-002,1
1857072,2.04E-001,2.17E-006,1.97E-006,2.63E+000,5.10E-005,3.49E-002,3.73E-002,3.80E-002,6.24E+000,6.96E-001,8.40E-002,4.01E-002,0
1857073,1.97E-001,2.59E-006,1.71E-006,2.82E+000,4.40E-005,3.62E-002,3.93E-002,4.00E-002,6.26E+000,6.98E-001,8.53E-002,4.12E-002,1
1857075,2.06E-001,1.69E-006,2.63E-006,2.87E+000,5.80E-005,3.74E-002,4.03E-002,4.11E-002,6.26E+000,6.99E-001,8.53E-002,4.13E-002,1
1857076,2.13E-001,1.36E-006,1.49E-006,2.41E+000,4.60E-005,3.78E-002,4.01E-002,4.08E-002,6.21E+000,6.97E-001,8.59E-002,4.20E-002,1
1857077,2.12E-001,2.19E-006,1.49E-006,2.67E+000,4.70E-005,3.45E-002,3.67E-002,3.74E-002,6.25E+000,6.99E-001,8.49E-002,4.08E-002,1
1857078,2.03E-001,2.62E-006,1.79E-006,3.00E+000,3.90E-005,3.42E-002,3.64E-002,3.70E-002,6.27E+000,6.98E-001,8.40E-002,4.00E-002,0
1857079,1.98E-001,2.46E-006,1.56E-006,2.67E+000,3.70E-005,3.71E-002,3.96E-002,4.04E-002,6.22E+000,6.97E-001,8.54E-002,4.15E-002,1
1857080,2.03E-001,9.59E-007,3.14E-006,2.74E+000,9.01E-004,3.33E-002,3.60E-002,3.65E-002,6.23E+000,6.97E-001,8.49E-002,4.10E-002,0
1857082,2.16E-001,3.10E-006,1.33E-006,2.66E+000,1.40E-005,3.13E-002,3.38E-002,3.43E-002,6.18E+000,6.88E-001,8.35E-002,3.99E-002,0
1857083,2.01E-001,1.53E-006,2.64E-006,2.88E+000,4.40E-005,3.72E-002,3.96E-002,4.04E-002,6.24E+000,6.95E-001,8.53E-002,4.14E-002,1
1857084,2.10E-001,1.41E-006,2.84E-006,2.82E+000,4.90E-005,3.72E-002,3.95E-002,4.02E-002,6.25E+000,6.98E-001,8.51E-002,4.10E-002,1
1857085,1.92E-001,1.76E-006,2.79E-006,2.91E+000,3.70E-005,3.65E-002,3.86E-002,3.93E-002,6.27E+000,7.01E-001,8.49E-002,4.08E-002,1
1857086,1.83E-001,2.65E-006,1.92E-006,2.89E+000,5.50E-005,3.66E-002,3.91E-002,3.98E-002,6.23E+000,6.96E-001,8.54E-002,4.15E-002,1
1857087,2.04E-001,1.99E-006,2.94E-006,2.57E+000,3.80E-005,3.51E-002,3.76E-002,3.83E-002,6.24E+000,6.97E-001,8.55E-002,4.15E-002,1
1857088,2.00E-001,1.64E-006,2.09E-006,2.79E+000,6.30E-005,3.65E-002,3.95E-002,4.03E-002,6.25E+000,6.99E-001,8.52E-002,4.11E-002,1
1857089,2.01E-001,1.73E-006,2.23E-006,2.71E+000,4.10E-005,3.49E-002,3.75E-002,3.82E-002,6.18E+000,6.92E-001,8.39E-002,4.02E-002,0
1857090,1.99E-001,2.13E-006,1.58E-006,2.63E+000,3.40E-005,3.66E-002,3.86E-002,3.93E-002,6.23E+000,6.97E-001,8.52E-002,4.13E-002,1
1857091,2.09E-001,2.43E-006,2.27E-006,2.68E+000,4.80E-005,3.40E-002,3.65E-002,3.71E-002,6.23E+000,6.95E-001,8.47E-002,4.09E-002,0
1857092,1.89E-001,2.04E-006,2.59E-006,2.84E+000,1.90E-005,3.66E-002,3.97E-002,4.05E-002,6.28E+000,6.99E-001,8.54E-002,4.12E-002,1
1857093,1.87E-001,2.47E-006,1.73E-006,3.05E+000,4.50E-005,3.71E-002,3.94E-002,4.01E-002,6.26E+000,7.01E-001,8.56E-002,4.15E-002,1
1857095,2.07E-001,1.80E-006,2.65E-006,2.72E+000,3.30E-005,3.16E-002,3.46E-002,3.51E-002,6.23E+000,6.95E-001,8.49E-002,4.10E-002,0
1857096,1.98E-001,1.50E-006,2.77E-006,2.50E+000,4.00E-005,3.59E-002,3.85E-002,3.91E-002,6.22E+000,6.94E-001,8.57E-002,4.18E-002,1
1857097,1.93E-001,1.08E-006,3.02E-006,2.78E+000,2.90E-004,3.68E-002,4.03E-002,4.11E-002,6.26E+000,6.99E-001,8.55E-002,4.14E-002,1
1857098,2.02E-001,2.49E-006,1.71E-006,2.82E+000,5.30E-005,3.80E-002,4.05E-002,4.13E-002,6.28E+000,7.01E-001,8.54E-002,4.14E-002,1
1857099,2.13E-001,2.21E-006,2.15E-006,2.85E+000,5.00E-005,3.78E-002,4.07E-002,4.14E-002,6.23E+000,6.99E-001,8.57E-002,4.17E-002,1
1857100,1.97E-001,1.59E-006,2.69E-006,2.76E+000,5.30E-005,3.72E-002,4.02E-002,4.09E-002,6.30E+000,7.00E-001,8.57E-002,4.15E-002,1
1857101,1.84E-001,2.16E-006,1.33E-006,2.84E+000,4.00E-005,3.85E-002,4.09E-002,4.16E-002,6.28E+000,6.99E-001,8.50E-002,4.10E-002,1
1857102,2.12E-001,1.60E-006,1.93E-006,2.70E+000,5.50E-005,3.30E-002,3.53E-002,3.58E-002,6.23E+000,6.99E-001,8.57E-002,4.17E-002,1
