***,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,class
234,2.00E-006,5.28E-001,2.80E-005,9.82E-001,2.70E-005,4.42E-005,2.03E-005,2.15E-001,4.01E-001,4.64E-001,6.28E-001,9.82E-001,1
235,1.60E-005,5.27E-001,4.80E-005,1.01E+000,2.55E-005,5.48E-005,3.75E-005,2.12E-001,3.99E-001,4.58E-001,6.28E-001,1.01E+000,1
236,8.00E-006,5.18E-001,6.10E-005,1.04E+000,2.64E-005,5.58E-005,3.76E-005,2.03E-001,3.88E-001,4.54E-001,6.31E-001,1.03E+000,1
237,2.18E-008,5.24E-001,1.80E-005,1.01E+000,2.46E-005,4.43E-005,1.11E-005,2.12E-001,3.99E-001,4.56E-001,6.32E-001,1.00E+000,1
238,4.00E-006,5.25E-001,2.21E-004,1.04E+000,2.78E-005,1.18E-004,1.52E-004,1.97E-001,3.88E-001,4.50E-001,6.31E-001,1.03E+000,0
239,3.00E-006,5.14E-001,3.89E-004,9.02E-001,3.05E-005,1.20E-004,2.69E-004,2.03E-001,3.90E-001,4.49E-001,6.08E-001,8.99E-001,0
240,1.10E-005,5.19E-001,2.90E-005,1.02E+000,2.88E-005,5.01E-005,2.25E-005,2.02E-001,3.89E-001,4.51E-001,6.24E-001,1.01E+000,0
241,2.00E-006,5.22E-001,2.06E-004,1.05E+000,3.05E-005,9.69E-005,1.35E-004,1.99E-001,3.90E-001,4.54E-001,6.30E-001,1.03E+000,0
242,1.20E-005,5.15E-001,1.04E-004,9.06E-001,2.76E-005,7.21E-005,8.68E-005,2.02E-001,3.88E-001,4.49E-001,6.07E-001,9.09E-001,0
243,1.00E-005,5.29E-001,8.30E-005,1.06E+000,2.67E-005,6.44E-005,5.22E-005,2.14E-001,3.99E-001,4.57E-001,6.37E-001,1.05E+000,1
244,6.00E-006,5.22E-001,6.10E-005,1.02E+000,2.64E-005,5.66E-005,4.10E-005,2.10E-001,3.94E-001,4.59E-001,6.25E-001,1.01E+000,1
245,1.50E-005,5.27E-001,4.90E-005,9.66E-001,2.49E-005,5.21E-005,4.76E-005,2.16E-001,4.01E-001,4.60E-001,6.30E-001,9.61E-001,1
246,1.00E-006,5.24E-001,4.60E-005,1.02E+000,3.18E-005,5.73E-005,3.29E-005,2.09E-001,3.95E-001,4.54E-001,6.28E-001,1.01E+000,1
247,1.00E-005,5.26E-001,3.70E-005,9.74E-001,2.69E-005,4.49E-005,2.81E-005,2.13E-001,3.99E-001,4.61E-001,6.27E-001,9.63E-001,1
248,0.00E+000,5.22E-001,5.50E-005,9.74E-001,2.52E-005,4.34E-005,4.38E-005,2.10E-001,3.96E-001,4.58E-001,6.22E-001,9.71E-001,1
249,1.00E-005,5.27E-001,6.80E-005,1.06E+000,2.67E-005,6.18E-005,5.77E-005,2.03E-001,3.94E-001,4.57E-001,6.33E-001,1.06E+000,1
250,8.00E-006,5.17E-001,2.90E-005,9.70E-001,2.52E-005,4.70E-005,1.75E-005,2.07E-001,3.92E-001,4.54E-001,6.22E-001,9.69E-001,1
251,7.00E-006,5.26E-001,1.69E-004,1.00E+000,2.49E-005,6.04E-005,1.52E-004,2.10E-001,3.96E-001,4.61E-001,6.28E-001,1.00E+000,1
252,3.00E-006,5.26E-001,8.50E-005,9.73E-001,2.83E-005,6.41E-005,7.86E-005,2.14E-001,3.99E-001,4.59E-001,6.24E-001,9.74E-001,1
253,2.00E-006,5.25E-001,5.00E-005,1.07E+000,2.49E-005,4.66E-005,4.21E-005,2.10E-001,3.95E-001,4.59E-001,6.41E-001,1.07E+000,1
254,2.00E-006,5.28E-001,9.40E-005,9.71E-001,2.55E-005,4.59E-005,6.00E-005,2.14E-001,4.00E-001,4.64E-001,6.25E-001,9.67E-001,1
255,6.00E-006,5.26E-001,6.80E-005,1.09E+000,2.62E-005,4.92E-005,5.70E-005,2.05E-001,3.92E-001,4.52E-001,6.42E-001,1.09E+000,1
256,2.00E-006,5.11E-001,1.79E-004,9.41E-001,2.83E-005,8.35E-005,1.41E-004,2.00E-001,3.86E-001,4.47E-001,6.06E-001,9.42E-001,0
257,0.00E+000,5.27E-001,2.20E-005,1.03E+000,2.79E-005,4.56E-005,1.57E-005,2.09E-001,3.96E-001,4.59E-001,6.30E-001,1.03E+000,1
258,2.00E-006,5.21E-001,5.80E-005,9.95E-001,3.83E-005,6.60E-005,4.87E-005,2.06E-001,3.91E-001,4.51E-001,6.23E-001,9.90E-001,0
