***,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,class
46,1.10E-05,5.28E-01,7.60E-05,9.60E-01,2.58E-05,5.89E-05,5.46E-05,2.06E-01,3.96E-01,4.59E-01,6.30E-01,9.56E-01,a
47,2.00E-06,5.26E-01,3.20E-05,9.64E-01,2.42E-05,4.69E-05,2.24E-05,2.06E-01,3.95E-01,4.59E-01,6.27E-01,9.60E-01,a
48,1.00E-06,5.28E-01,3.00E-05,9.73E-01,2.69E-05,4.78E-05,2.02E-05,2.05E-01,3.95E-01,4.58E-01,6.30E-01,9.64E-01,a
49,5.00E-06,5.26E-01,2.20E-05,9.61E-01,2.64E-05,4.33E-05,2.14E-05,2.03E-01,3.92E-01,4.58E-01,6.29E-01,9.57E-01,a
50,8.00E-06,5.34E-01,3.80E-05,9.99E-01,2.97E-05,5.11E-05,3.08E-05,2.16E-01,4.02E-01,4.65E-01,6.41E-01,9.93E-01,a
51,2.00E-06,5.32E-01,1.60E-05,1.00E+00,2.57E-05,4.14E-05,1.03E-05,2.08E-01,3.97E-01,4.63E-01,6.33E-01,1.01E+00,a
52,6.00E-06,5.31E-01,2.60E-05,1.03E+00,2.75E-05,4.85E-05,2.02E-05,2.16E-01,4.02E-01,4.64E-01,6.38E-01,1.03E+00,a
53,8.00E-06,5.26E-01,1.90E-05,9.77E-01,2.48E-05,4.35E-05,1.16E-05,2.05E-01,3.95E-01,4.59E-01,6.26E-01,9.73E-01,a
54,4.00E-06,5.31E-01,2.46E-04,1.02E+00,3.03E-05,1.10E-04,1.60E-04,2.13E-01,4.00E-01,4.60E-01,6.37E-01,1.03E+00,a
55,1.60E-05,5.30E-01,1.34E-04,1.00E+00,3.46E-05,8.85E-05,1.25E-04,2.13E-01,4.01E-01,4.63E-01,6.34E-01,9.94E-01,a
56,1.70E-05,5.31E-01,5.10E-05,9.97E-01,3.04E-05,5.39E-05,4.41E-05,2.16E-01,4.02E-01,4.61E-01,6.37E-01,9.85E-01,a
57,3.00E-06,5.24E-01,1.92E-04,1.02E+00,3.04E-05,9.95E-05,1.22E-04,2.03E-01,3.90E-01,4.54E-01,6.33E-01,1.01E+00,b
58,1.50E-05,5.24E-01,6.90E-05,1.01E+00,2.70E-05,6.10E-05,4.56E-05,2.05E-01,3.93E-01,4.54E-01,6.34E-01,1.01E+00,a
59,1.00E-06,5.28E-01,4.20E-05,9.98E-01,2.62E-05,5.31E-05,3.56E-05,2.13E-01,4.00E-01,4.61E-01,6.30E-01,9.95E-01,a
60,1.00E-05,5.26E-01,1.45E-04,1.03E+00,2.76E-05,8.11E-05,8.39E-05,2.04E-01,3.93E-01,4.56E-01,6.35E-01,1.03E+00,a
61,6.00E-06,5.27E-01,3.60E-05,1.03E+00,3.48E-05,5.60E-05,2.97E-05,2.13E-01,4.00E-01,4.62E-01,6.36E-01,1.02E+00,a
62,8.00E-06,5.29E-01,3.60E-05,9.98E-01,2.56E-05,4.83E-05,2.81E-05,2.16E-01,4.03E-01,4.65E-01,6.33E-01,9.93E-01,a
