***,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,class
532057,1.81E-01,1.68E-06,3.52E-06,2.59E+00,9.12E-04,3.54E-02,3.76E-02,3.85E-02,6.22E+00,6.91E-01,8.37E-02,3.98E-02,a
532058,1.92E-01,1.16E-06,3.61E-06,2.69E+00,8.82E-04,3.28E-02,3.53E-02,3.60E-02,6.21E+00,6.92E-01,8.35E-02,3.98E-02,a
532059,1.78E-01,5.83E-07,2.48E-06,2.34E+00,9.56E-04,3.31E-02,3.54E-02,3.61E-02,6.24E+00,6.94E-01,8.37E-02,3.99E-02,a
532060,1.95E-01,7.00E-07,2.76E-06,2.64E+00,1.12E-03,3.36E-02,3.60E-02,3.68E-02,6.22E+00,6.93E-01,8.41E-02,4.03E-02,a
532061,1.86E-01,1.01E-06,3.36E-06,2.29E+00,2.71E-04,3.22E-02,3.43E-02,3.48E-02,6.14E+00,6.89E-01,8.37E-02,4.02E-02,a
532062,1.88E-01,1.71E-06,3.15E-06,2.65E+00,1.05E-03,3.43E-02,3.63E-02,3.71E-02,6.19E+00,6.92E-01,8.37E-02,3.99E-02,a
532063,1.97E-01,1.25E-06,3.22E-06,2.37E+00,9.17E-04,3.34E-02,3.57E-02,3.64E-02,6.20E+00,6.92E-01,8.36E-02,3.99E-02,a
532064,2.10E-01,3.32E-07,2.50E-06,2.74E+00,1.00E-03,3.42E-02,3.60E-02,3.67E-02,6.24E+00,6.94E-01,8.36E-02,3.97E-02,a
532065,1.94E-01,3.91E-07,2.14E-06,2.34E+00,1.18E-03,3.30E-02,3.57E-02,3.64E-02,6.22E+00,6.92E-01,8.33E-02,3.95E-02,a
532066,1.93E-01,1.67E-06,3.22E-06,2.68E+00,9.26E-04,3.37E-02,3.56E-02,3.64E-02,6.21E+00,6.94E-01,8.33E-02,3.95E-02,a
532067,1.88E-01,1.69E-06,2.35E-06,2.54E+00,8.82E-04,3.40E-02,3.60E-02,3.67E-02,6.19E+00,6.90E-01,8.36E-02,3.99E-02,a
532068,1.91E-01,1.14E-06,2.86E-06,2.82E+00,1.09E-03,3.49E-02,3.66E-02,3.73E-02,6.19E+00,6.91E-01,8.37E-02,3.99E-02,a
532069,1.89E-01,1.55E-06,2.96E-06,2.54E+00,1.00E-03,3.36E-02,3.57E-02,3.63E-02,6.18E+00,6.93E-01,8.37E-02,4.00E-02,a
532070,1.84E-01,1.99E-06,3.16E-06,2.59E+00,9.73E-04,3.31E-02,3.55E-02,3.62E-02,6.18E+00,6.90E-01,8.32E-02,3.94E-02,a
532071,1.83E-01,2.04E-06,3.74E-06,2.64E+00,1.05E-03,3.51E-02,3.74E-02,3.83E-02,6.19E+00,6.93E-01,8.31E-02,3.94E-02,a
532072,2.11E-01,1.29E-07,2.24E-06,2.51E+00,8.81E-04,3.54E-02,3.80E-02,3.88E-02,6.21E+00,6.92E-01,8.37E-02,3.99E-02,a
