NN,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,class2
2895[27],-1.135,1.159,-2.387,2.354,8.46E-08,-1.00E-07,4.29E-08,2.01E-05,2.07E-05,2.04E-05,2.02E-05,2.00E-05,1.98E-05,2.02E-05,1.98E-05,2.01E-05,2.04E-05,1106000,12.44,-11.63,124.5,105,112.5,3.50E-07,0.006,-0.005,-0.003,0.002,-1.54E-08,-8.42E-09,1.45E-08,-5.90E-06,-5.74E-06,-5.38E-06,-6.15E-06,-6.53E-06,-6.83E-06,-6.76E-06,-7.79E-06,-7.81E-06,-6.30E-06,-57000,0,0.01,-0.1,0.2,a
2895[28],-1.132,1.156,-2.386,2.353,6.69E-08,-1.01E-07,5.78E-08,-7.65E-06,-8.71E-06,-9.61E-06,-1.09E-05,-1.15E-05,-1.14E-05,-1.24E-05,-1.27E-05,-1.25E-05,-1.31E-05,1082000,12.44,-11.63,125.7,106.3,116.5,-5.45E-06,0.004,-0.003,-0.005,0.004,-5.85E-09,4.60E-09,2.37E-09,-5.96E-06,-6.11E-06,-6.54E-06,-7.77E-06,-7.55E-06,-7.43E-06,-8.35E-06,-8.70E-06,-8.07E-06,-8.43E-06,-34000,-0.01,0.01,-0.2,0.3,a
2895[305],-0.9131,0.9362,-1.774,1.749,8.07E-08,-8.10E-08,1.76E-08,3.90E-06,2.45E-06,2.04E-06,1.41E-06,8.00E-07,5.38E-07,-2.75E-07,5.50E-07,-2.00E-07,-2.38E-07,1058000,12.19,-11.68,129.9,106.3,124.8,-4.14E-06,0.0019,-0.0007,0.001,0.003,9.28E-09,-1.74E-08,2.41E-09,-9.24E-06,-9.69E-06,-9.62E-06,-8.83E-06,-7.85E-06,-7.81E-06,-7.74E-06,-7.20E-06,-7.85E-06,-7.59E-06,17000,0.01,0,0,-1,b
2895[306],-0.9381,0.9587,-1.85,1.822,8.87E-08,-9.40E-08,2.17E-08,-2.10E-05,-2.29E-05,-2.39E-05,-2.43E-05,-2.53E-05,-2.61E-05,-2.67E-05,-2.69E-05,-2.67E-05,-2.72E-05,1117000,12.09,-11.67,125.9,108.4,123.1,-6.24E-06,-0.0019,0.0018,-0.016,0.018,6.96E-09,-1.09E-08,1.07E-09,-1.74E-05,-1.75E-05,-1.70E-05,-1.73E-05,-1.76E-05,-1.79E-05,-1.84E-05,-1.84E-05,-1.78E-05,-1.86E-05,-16000,-0.01,0,0.9,1.2,b
2895[307],-0.8975,0.9219,-1.737,1.724,7.83E-08,-5.25E-08,4.53E-09,6.69E-06,5.16E-06,4.35E-06,3.14E-06,2.90E-06,2.21E-06,2.21E-06,1.79E-06,1.18E-06,1.44E-06,1259000,12.22,-11.67,124.9,106.4,118.2,-5.25E-06,0.0075,-0.0056,0.03,-0.008,3.93E-09,-6.76E-09,4.49E-09,-1.14E-05,-1.08E-05,-9.49E-06,-1.05E-05,-1.01E-05,-9.72E-06,-9.00E-06,-8.22E-06,-8.96E-06,-8.99E-06,59000,0.02,0.01,1.1,0.5,b
2895[308],-0.94,0.96,-1.834,1.804,9.19E-08,-1.09E-07,3.39E-08,-1.15E-05,-1.29E-05,-1.38E-05,-1.44E-05,-1.51E-05,-1.58E-05,-1.64E-05,-1.64E-05,-1.67E-05,-1.67E-05,1173000,12.1,-11.67,127.3,108.6,128.2,-5.24E-06,-0.0013,0.0006,-0.009,0.01,-2.00E-09,-7.20E-09,5.39E-09,-1.14E-05,-1.21E-05,-1.26E-05,-1.33E-05,-1.28E-05,-1.38E-05,-1.39E-05,-1.35E-05,-1.38E-05,-1.40E-05,14000,-0.01,0,0.6,0.7,b
2895[309],-0.9125,0.935,-1.766,1.734,1.02E-07,-9.46E-08,2.11E-08,8.71E-06,6.56E-06,3.09E-06,1.19E-06,-7.13E-07,-1.60E-06,-2.30E-06,-1.94E-06,-2.54E-06,-2.51E-06,1127000,12.13,-11.68,126.2,105.8,116.6,-1.12E-05,-0.0013,0.0013,-0.011,0.01,1.05E-08,6.62E-09,-8.95E-09,8.10E-06,8.13E-06,6.10E-06,4.68E-06,3.40E-06,3.49E-06,4.31E-06,4.71E-06,4.13E-06,5.69E-06,90000,-0.01,0,-2,-0.3,b
2895[310],-0.92,0.9419,-1.793,1.759,7.90E-08,-6.50E-08,1.31E-09,-3.14E-06,-6.25E-06,-8.16E-06,-9.94E-06,-1.17E-05,-1.30E-05,-1.43E-05,-1.52E-05,-1.59E-05,-1.69E-05,898900,12.22,-11.69,132.4,104.4,122.4,-1.38E-05,-0.0006,0.0007,-0.008,0.006,-3.85E-09,-4.60E-10,-2.00E-10,-2.88E-07,-1.70E-06,-2.46E-06,-2.98E-06,-3.15E-06,-4.01E-06,-5.12E-06,-4.86E-06,-5.35E-06,-5.66E-06,-55000,-0.01,-0.01,-0.5,-0.2,b
2895[311],-0.9256,0.9469,-1.816,1.781,6.79E-08,-7.09E-08,2.11E-08,-4.78E-06,-7.00E-06,-8.60E-06,-9.53E-06,-1.04E-05,-1.16E-05,-1.18E-05,-1.24E-05,-1.31E-05,-1.40E-05,1060000,12.13,-11.68,127.4,106.2,124.4,-9.19E-06,-0.0012,0.0007,-0.007,0.005,1.65E-08,-9.20E-10,-1.17E-08,-4.19E-06,-3.54E-06,-4.88E-06,-6.09E-06,-4.97E-06,-6.38E-06,-5.10E-06,-5.67E-06,-6.49E-06,-7.66E-06,-204000,-0.01,0,1.6,-0.2,b
2895[312],-0.9112,0.9337,-1.778,1.744,8.07E-08,-6.15E-08,2.99E-09,1.52E-05,1.54E-05,1.53E-05,1.55E-05,1.60E-05,1.60E-05,1.57E-05,1.59E-05,1.56E-05,1.64E-05,1236000,12.18,-11.68,125.4,107.5,116.8,1.25E-06,-0.0012,0.0012,-0.009,0.007,5.95E-09,2.55E-09,-6.78E-09,-5.59E-06,-5.81E-06,-6.15E-06,-6.17E-06,-5.85E-06,-6.05E-06,-5.62E-06,-5.97E-06,-6.38E-06,-5.86E-06,-63000,-0.02,0,-0.2,0.5,b
