name,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,class
2942[305],-2.122,2.161,-2.625,2.619,-5.54E-06,6.75E-06,1.13E-06,1.65E-06,-9.48E-06,-1.90E-05,-2.73E-05,-3.41E-05,-3.89E-05,-4.22E-05,-4.49E-05,-4.77E-05,-4.92E-05,2003000,13.88,-13.83,126.9,-5.08E-05,-0.005,0.005,-0.017,0.012,2.28E-07,-2.58E-07,-6.00E-09,1.47E-05,1.34E-05,1.11E-05,9.25E-06,8.32E-06,7.31E-06,6.58E-06,6.59E-06,6.46E-06,7.05E-06,72000,0,0.01,b
2942[306],-2.197,2.233,-2.722,2.716,-6.96E-06,6.97E-06,1.85E-08,-3.88E-07,-4.53E-06,-7.48E-06,-1.02E-05,-1.20E-05,-1.32E-05,-1.44E-05,-1.54E-05,-1.61E-05,-1.71E-05,2169000,13.88,-13.82,130.4,-1.67E-05,-0.035,0.032,-0.051,0.047,6.61E-07,-5.96E-07,-7.95E-09,3.66E-06,5.86E-06,8.03E-06,9.78E-06,1.17E-05,1.38E-05,1.54E-05,1.62E-05,1.72E-05,1.76E-05,84000,0,0.01,b
2942[307],-2.189,2.225,-2.774,2.767,-5.48E-06,4.53E-06,1.03E-06,2.33E-05,2.34E-05,2.27E-05,2.21E-05,2.22E-05,2.16E-05,2.11E-05,2.13E-05,2.10E-05,2.07E-05,1854000,13.89,-13.84,126.7,-2.66E-06,-0.037,0.034,-0.055,0.05,3.72E-07,-1.86E-07,-8.10E-08,1.03E-05,1.02E-05,9.61E-06,9.04E-06,9.16E-06,9.38E-06,9.67E-06,9.97E-06,9.56E-06,8.94E-06,-6000,0,0,b
2942[308],-2.207,2.243,-2.756,2.749,-5.22E-07,8.86E-07,3.53E-07,-4.10E-05,-4.67E-05,-5.14E-05,-5.68E-05,-6.16E-05,-6.57E-05,-6.73E-05,-6.94E-05,-7.13E-05,-7.23E-05,2157000,13.88,-13.81,130.3,-3.13E-05,-0.043,0.04,-0.06,0.055,-5.74E-08,-1.70E-08,-1.69E-07,-1.07E-05,-9.33E-06,-7.59E-06,-7.46E-06,-7.72E-06,-8.77E-06,-8.02E-06,-7.75E-06,-8.11E-06,-7.53E-06,202000,0,0.01,b
2942[309],-2.274,2.309,-2.825,2.814,-2.69E-06,2.52E-06,1.45E-07,2.58E-06,1.44E-06,5.00E-07,-1.25E-08,-3.63E-07,-6.00E-07,-2.50E-07,0,-7.50E-08,-7.25E-07,2337000,13.88,-13.81,123.6,-3.30E-06,-0.027,0.025,-0.043,0.038,9.10E-08,-9.20E-08,-1.26E-07,-1.50E-07,-3.50E-07,-9.50E-07,-7.00E-07,-9.13E-07,-9.63E-07,-5.00E-07,-2.00E-07,1.25E-08,-8.75E-08,49000,0,0.01,b
2942[310],-2.276,2.313,-2.829,2.82,2.32E-06,-1.88E-06,5.25E-07,-7.13E-07,-9.00E-07,-1.78E-06,-2.31E-06,-2.63E-06,-2.95E-06,-4.03E-06,-4.50E-06,-4.95E-06,-5.30E-06,2231000,13.88,-13.84,122.3,-4.59E-06,-0.03,0.03,-0.046,0.041,-3.40E-08,-3.17E-07,-3.12E-07,-3.98E-06,-3.39E-06,-3.00E-06,-3.19E-06,-3.35E-06,-3.31E-06,-3.76E-06,-3.59E-06,-3.38E-06,-3.05E-06,69000,-0.01,0,b
2942[311],-2.256,2.292,-2.841,2.831,-1.81E-06,2.89E-06,1.01E-06,1.23E-05,1.24E-05,1.20E-05,1.17E-05,1.17E-05,1.19E-05,1.17E-05,1.16E-05,1.11E-05,1.08E-05,2291000,13.88,-13.78,125.2,-1.46E-06,-0.028,0.026,-0.044,0.04,5.20E-08,9.70E-08,1.06E-07,-1.08E-05,-1.05E-05,-1.04E-05,-1.01E-05,-9.70E-06,-9.20E-06,-9.35E-06,-9.27E-06,-9.75E-06,-9.90E-06,54000,0,0.01,b
2942[312],-2.277,2.313,-2.861,2.849,-4.66E-06,3.53E-06,1.13E-06,-2.02E-05,-2.41E-05,-2.76E-05,-3.06E-05,-3.29E-05,-3.40E-05,-3.46E-05,-3.57E-05,-3.68E-05,-3.77E-05,2010000,13.88,-13.84,134.3,-1.75E-05,-0.033,0.031,-0.05,0.047,1.00E-07,3.60E-08,-1.57E-07,-3.32E-06,-3.03E-06,-3.14E-06,-2.83E-06,-3.85E-06,-3.83E-06,-3.72E-06,-4.85E-06,-5.97E-06,-7.46E-06,29000,-0.01,0,b
2942[313],-2.199,2.234,-2.758,2.751,-3.81E-06,3.16E-06,5.28E-07,-2.29E-05,-2.65E-05,-2.93E-05,-3.16E-05,-3.37E-05,-3.55E-05,-3.71E-05,-3.81E-05,-3.91E-05,-4.05E-05,1965000,13.88,-13.83,131,-1.76E-05,-0.031,0.028,-0.051,0.044,1.18E-07,-4.40E-07,2.69E-07,-1.32E-05,-1.22E-05,-1.17E-05,-1.13E-05,-1.14E-05,-1.15E-05,-1.14E-05,-1.17E-05,-1.15E-05,-1.25E-05,57000,0,0,b
2942[314],-2.089,2.13,-2.611,2.603,-8.68E-06,9.63E-06,9.69E-07,1.56E-05,1.46E-05,1.41E-05,1.31E-05,1.23E-05,1.21E-05,1.17E-05,1.12E-05,1.14E-05,1.12E-05,2291000,13.87,-13.82,127.4,-4.34E-06,-0.046,0.046,-0.075,0.061,2.41E-07,-3.46E-07,-6.05E-08,-4.82E-06,-4.00E-06,-3.25E-06,-3.47E-06,-3.50E-06,-3.19E-06,-2.95E-06,-3.37E-06,-3.20E-06,-3.12E-06,-12000,-0.01,0.01,b
